name,u,x,z,angle,mass,diam,air res,air dens,grav
Example1,18.9,15.8,17.2,1.11,14.5,27.2,1.6,10.4,9.98
Example2,15.5,12.9,4.3,0.16,12.5,9.2,21.2,19.9,8.66
Example3,8.2,2.5,3.8,0.28,4.8,21.0,0.8,17.3,7.73
Example4,10.3,18.5,15.2,0.11,19.7,1.8,25.2,5.9,1.33
Example5,3.1,0.4,16.4,0.9,7.1,21.0,13.7,12.1,9.69
Example6,2.8,3.4,12.1,1.43,2.0,28.1,23.1,13.6,5.71
Example7,7.7,16.6,20.0,0.26,9.8,0.1,22.7,8.4,9.4
Example8,16.8,4.0,8.1,1.15,12.9,22.9,0.5,7.2,0.16
Example9,3.9,6.8,3.0,1.17,18.5,27.1,9.9,0.3,1.78
Example10,18.8,3.0,16.5,1.21,17.8,27.9,1.8,11.7,9.14
Example11,9.5,6.5,18.9,1.26,17.8,21.2,20.8,1.7,2.63
Example12,4.3,2.8,5.1,0.43,7.0,3.4,1.3,2.6,2.24
Example13,13.0,12.8,9.1,1.46,7.8,4.4,13.3,13.8,2.1
Example14,13.6,2.8,19.7,0.49,1.4,12.9,9.5,5.1,8.81
Example15,1.5,16.9,7.5,1.29,4.7,12.0,17.7,12.6,2.29
Example16,18.8,2.5,9.8,1.02,18.8,26.6,23.0,1.0,3.19
Example17,4.9,1.7,18.9,1.15,10.7,9.7,12.7,13.0,6.09
Example18,5.7,10.4,9.7,0.03,14.9,12.8,27.3,12.9,8.65
Example19,16.9,19.4,5.1,0.58,4.3,3.6,3.5,7.9,5.03
